epoch,loss,blur,fid
0,-33615.794677734375,0.02504083141684532,0.24506875754516994
1,-66898.79907226562,0.0446186363697052,0.214610519051031
2,-82688.10498046875,0.047286346554756165,0.17565610396786693
3,-88628.45532226562,0.038483284413814545,0.15550071625576753
4,-90955.29541015625,0.03448600322008133,0.14017370604968343
5,-91992.70678710938,0.028965434059500694,0.13181763841470667
6,-92677.48559570312,0.029735131189227104,0.12855409910377627
7,-93140.64990234375,0.02742793969810009,0.12487024290095963
8,-93911.64208984375,0.027032293379306793,0.12329579244388893
9,-94781.29858398438,0.025807300582528114,0.12652628126953808
10,-95195.71997070312,0.023051941767334938,0.12749757750095592
11,-95524.01611328125,0.020928040146827698,0.12734232842503496
12,-95751.59912109375,0.02174384519457817,0.1298324784880162
13,-95963.05737304688,0.02043871209025383,0.12717040948601147
14,-96072.69653320312,0.01905841939151287,0.1260553433099747
15,-96164.21997070312,0.019286369904875755,0.12481857792374018
16,-96358.283203125,0.018123159185051918,0.12789910993826697
17,-96444.830078125,0.018333695828914642,0.12426679136486785
18,-96575.69580078125,0.018119292333722115,0.13110534736342833
19,-96627.92724609375,0.016660118475556374,0.12524598984806246
20,-96765.83203125,0.016789548099040985,0.12391259573786487
21,-96831.52954101562,0.01675930619239807,0.12024373411260285
22,-96911.31201171875,0.017318442463874817,0.12737276526754376
23,-96977.40991210938,0.017786385491490364,0.12350547262945538
24,-97085.50219726562,0.01723722368478775,0.1270397528635371
25,-97140.86401367188,0.01752394065260887,0.12441498501209804
26,-97197.87646484375,0.018209094181656837,0.1227449946170298
27,-97271.8330078125,0.01735677756369114,0.1265030916991015
28,-97404.046875,0.017999587580561638,0.12709926777664382
29,-97253.54345703125,0.017703043296933174,0.12707749487405684
30,-97391.82690429688,0.017951274290680885,0.12941061020357802
31,-97469.56958007812,0.01634449139237404,0.12483780144851014
32,-97476.43017578125,0.017200764268636703,0.1273675304104231
33,-97551.84228515625,0.018215863034129143,0.12813159316393988
34,-97583.15258789062,0.017611317336559296,0.12768612741419244
35,-97626.66186523438,0.017572857439517975,0.12869890221495028
36,-97686.11279296875,0.01763317361474037,0.12779488602466405
37,-97644.28125,0.017915096133947372,0.12529619520995813
38,-97702.88110351562,0.017231535166502,0.12932426853325077
39,-97734.00268554688,0.01824858784675598,0.12465934085221064
40,-97800.47607421875,0.016597848385572433,0.12715755987237498
41,-97801.22314453125,0.018381135538220406,0.1269449404785808
42,-97791.00537109375,0.0166764073073864,0.12378091735029555
43,-97865.32006835938,0.017607426270842552,0.12375490865240749
44,-97929.65942382812,0.018266083672642708,0.12245320368326629
45,-97890.26733398438,0.01607079990208149,0.12446497198425152
46,-97929.80810546875,0.018211519345641136,0.1223394607350041
47,-97891.72900390625,0.016938162967562675,0.12160499376520043
48,-97942.18310546875,0.015990739688277245,0.12449135795051318
49,-97938.1142578125,0.016115758568048477,0.12246384280825481
50,-98207.84619140625,0.018644560128450394,0.12634964937028442
51,-98245.58837890625,0.019093267619609833,0.12299150464839403
52,-98262.84375,0.019282113760709763,0.12572048186077273
53,-98273.4052734375,0.019038405269384384,0.1261898329048322
54,-98285.44873046875,0.01920674741268158,0.126821121287563
55,-98294.72998046875,0.01947670616209507,0.12263467063581913
56,-98298.57299804688,0.019272424280643463,0.12411409843729371
57,-98318.53540039062,0.01941779814660549,0.12539096084457357
58,-98311.2724609375,0.01840364746749401,0.12478058957745167
59,-98347.80126953125,0.01978527382016182,0.12303594116367045
60,-98351.26147460938,0.020640389993786812,0.12475855440804892
61,-98348.107421875,0.01935979537665844,0.12333135617921502
62,-98381.26489257812,0.02019526995718479,0.12392221597805597
63,-98383.20581054688,0.018414422869682312,0.1244315354243645
64,-98363.72436523438,0.019433429464697838,0.12510400963308205
65,-98394.68286132812,0.01811927556991577,0.12221059706491397
66,-98397.45385742188,0.01945546641945839,0.12291801839948081
67,-98398.82958984375,0.019928069785237312,0.12697680751504056
68,-98421.03955078125,0.019463013857603073,0.12620593275872688
69,-98404.55322265625,0.019611885771155357,0.12290655821295415
70,-98398.42260742188,0.019021127372980118,0.12191049579938878
71,-98443.34912109375,0.018926795572042465,0.1257409526561668
72,-98441.63720703125,0.020168695598840714,0.126189536608767
73,-98438.12109375,0.0191046129912138,0.12116331323976502
74,-98458.84423828125,0.020724721252918243,0.12342395238548581
75,-98451.38256835938,0.01845008321106434,0.12298349817886395
76,-98436.59741210938,0.01932133175432682,0.12395195078107521
77,-98484.60717773438,0.019465791061520576,0.12479340511266207
78,-98488.64916992188,0.019666003063321114,0.122679856258819
79,-98463.25952148438,0.019477372989058495,0.12128916147800708
